"","From","To"
"1","29138806","25630211"
"2","28194329","25630211"
"3","26469225","25630211"
"4","29138806","25630211"
"5","28194329","25630211"
"6","26469225","25630211"
"7","28874566","26469225"
"8","28642609","26469225"
"9","28410234","26469225"
"10","28238104","26469225"
"11","27846853","26469225"
"12","27685159","26469225"
"13","27324944","26469225"
"14","27107051","26469225"
"15","29138806","25630211"
"16","28194329","25630211"
"17","26469225","25630211"
"18","29138806","25630211"
"19","28194329","25630211"
"20","26469225","25630211"
"21","28874566","26469225"
"22","28642609","26469225"
"23","28410234","26469225"
"24","28238104","26469225"
"25","27846853","26469225"
"26","27685159","26469225"
"27","27324944","26469225"
"28","27107051","26469225"
"29","29360814","27107051"
"30","29329346","27107051"
"31","29035175","27107051"
"32","29033921","27107051"
"33","28765394","27107051"
"34","28389557","27107051"
"35","28256574","27107051"
"36","28100240","27107051"
"37","27806346","27107051"
"38","27574489","27107051"
"39","27530684","27107051"
