"","From","To"
"1","29138806","25630211"
"2","28194329","25630211"
"3","26469225","25630211"
"4","29299178","28194329"
"5","29138528","28194329"
"6","29132385","28194329"
"7","29085821","28194329"
"8","28841163","28194329"
"9","28430163","28194329"
"10","28874566","26469225"
"11","28642609","26469225"
"12","28410234","26469225"
"13","28238104","26469225"
"14","27846853","26469225"
"15","27685159","26469225"
"16","27324944","26469225"
"17","27107051","26469225"
"18","29312884","28430163"
"19","29177029","28430163"
"20","29132362","28430163"
"21","29085221","28430163"
"22","28966728","28430163"
"23","28872613","28430163"
"24","28861326","28430163"
"25","28771186","28430163"
"26","28672805","28430163"
"27","28874566","28410234"
"28","29383197","28238104"
"29","29378633","27846853"
"30","29368634","27846853"
"31","29234122","27846853"
"32","29151892","27846853"
"33","29110684","27846853"
"34","28446533","27685159"
"35","28123851","27685159"
"36","29344009","27324944"
"37","29190829","27324944"
"38","28783113","27324944"
"39","28692660","27324944"
"40","28488344","27324944"
"41","28481406","27324944"
"42","28475624","27324944"
"43","27581429","27324944"
"44","29360814","27107051"
"45","29329346","27107051"
"46","29035175","27107051"
"47","29033921","27107051"
"48","28765394","27107051"
"49","28389557","27107051"
"50","28256574","27107051"
"51","28100240","27107051"
"52","27806346","27107051"
"53","27574489","27107051"
"54","27530684","27107051"
"55","29458374","29132362"
"56","29416358","29085221"
"57","29439529","28872613"
"58","29462906","28771186"
"59","29445342","28771186"
"60","29190936","28771186"
"61","29535911","28672805"
"62","29462906","28672805"
"63","29190923","28672805"
"64","29301303","29234122"
"65","28446533","28123851"
"66","29549280","28783113"
"67","29344009","28488344"
"68","29531895","28481406"
"69","29422899","28481406"
"70","29312982","28481406"
"71","29233930","28481406"
"72","29209327","28481406"
"73","29467744","28475624"
"74","29106540","28475624"
"75","28783113","27581429"
"76","28615382","27581429"
"77","29382070","29329346"
"78","29483538","28389557"
"79","29269393","28389557"
"80","28389560","28389557"
"81","28389555","28389557"
"82","29445373","28256574"
"83","29384525","28256574"
"84","29301589","28256574"
"85","29200868","28256574"
"86","29036590","28256574"
"87","29021281","28256574"
"88","28765560","28256574"
"89","28747659","28256574"
"90","29484440","28100240"
"91","28577565","28100240"
"92","28359286","28100240"
"93","29245905","27806346"
"94","29394243","27530684"
"95","28288896","27530684"
